no,fecha,cfdi,nombre,monto,dias,fecha_pago
127,4/10/2020,7743,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,380.11,9,6/12/2020
128,4/10/2020,7744,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,9,6/12/2020
129,4/11/2020,7745,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,5368.56,8,6/12/2020
130,4/11/2020,7746,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,380.11,8,6/12/2020
131,4/11/2020,7747,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,8,6/12/2020
132,4/11/2020,7748,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,3793.78,8,6/12/2020
133,4/11/2020,7749,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,8,6/12/2020
134,4/11/2020,7750,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,340.07,8,6/12/2020
135,4/11/2020,7751,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,113.36,8,6/12/2020
136,4/12/2020,7752,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,7,6/12/2020
137,4/12/2020,7753,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,7,6/12/2020
138,4/13/2020,7754,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,5511.33,6,6/12/2020
